longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.39502,37.79178,Apartment,Entire home/apt,$500.00,30,30,60,1,NA,SoMa,2,2
-122.44221,37.76055,Apartment,Entire home/apt,$549.00,3,19,44,37,94,The Castro,3,1
-122.41194,37.75139,House,Entire home/apt,$200.00,31,0,0,85,99,Mission District,1,1
-122.40795,37.75131,House,Private room,$70.00,3,5,14,106,91,Mission District,1,1
-122.44281,37.76588,House,Entire home/apt,$672.00,5,0,5,13,98,Haight-Ashbury,4,3.5
-122.44542,37.76648,Guest suite,Entire home/apt,$130.00,3,8,18,271,93,Haight-Ashbury,1,1
-122.41626,37.74587,House,Entire home/apt,$390.00,4,0,0,13,96,Bernal Heights,3,2.5
-122.41927,37.74498,House,Private room,$102.00,3,17,24,180,97,Bernal Heights,1,1
-122.39411,37.76196,Guest suite,Entire home/apt,$250.00,4,22,46,122,97,Potrero Hill,1,1
-122.41069,37.74248,Apartment,Entire home/apt,$149.00,6,1,6,383,96,Bernal Heights,0,1
-122.42265,37.76016,Apartment,Entire home/apt,$355.00,2,0,5,27,100,Mission District,2,2
-122.43607,37.75666,House,Entire home/apt,$700.00,2,0,8,34,96,The Castro,3,3
-122.41813,37.74002,Condominium,Entire home/apt,$169.00,3,7,21,70,98,Bernal Heights,2,1.5
-122.46914,37.72042,House,Private room,$60.00,30,2,32,15,97,Oceanview,1,1.5
-122.44027,37.74987,Apartment,Entire home/apt,$189.00,30,0,0,80,99,Noe Valley,2,2
-122.42493,37.79363,Apartment,Entire home/apt,$130.00,30,0,0,20,95,Pacific Heights,1,1
-122.40708,37.76318,Apartment,Private room,$99.00,3,15,45,146,97,Potrero Hill,1,1
-122.43599,37.77044,Condominium,Entire home/apt,$289.00,3,11,32,100,96,Lower Haight,1,1
-122.40996,37.75635,Guest suite,Entire home/apt,$119.00,30,14,44,20,96,Mission District,1,1
-122.47522,37.78377,House,Private room,$132.00,2,14,30,215,99,Richmond District,1,1.5
-122.40761,37.75906,Apartment,Private room,$68.00,31,12,42,13,97,Mission District,1,NA
-122.48266,37.78135,Apartment,Entire home/apt,$140.00,3,5,20,213,89,Richmond District,1,1
